Stadtgebiet;Gesamtbetrag der Einkünfte je Steuerpflichtigen im Jahr
Hamburg-Altstadt;31336,00
HafenCity;93206,00
Neustadt;34521,00
St. Pauli;27977,00
St. Georg;44121,00
Hammerbrook;19468,00
Borgfelde;26217,00
Hamm;25745,00
Horn;21685,00
Billstedt;23247,00
Billbrook;22625,00
Rothenburgsort;20473,00
Veddel;15831,00
Wilhelmsburg;21890,00
Kleiner Grasbrook und Steinwerder;13777,00
Waltershof und Finkenwerder;31649,00
Altona-Altstadt;30833,00
Sternschanze;31125,00
Altona-Nord;29901,00
Ottensen;40830,00
Bahrenfeld;33565,00
Groß Flottbek;85952,00
Othmarschen;108258,00
Lurup;26665,00
Osdorf;43177,00
Nienstedten;120716,00
Blankenese;117139,00
Iserbrook;39439,00
Sülldorf;43584,00
Rissen;65855,00
Eimsbüttel;37536,00
Rotherbaum;68191,00
Harvestehude;111088,00
Hoheluft-West;42169,00
Lokstedt;41778,00
Niendorf;41651,00
Schnelsen;37866,00
Eidelstedt;30938,00
Stellingen;32600,00
Hoheluft-Ost;52006,00
Eppendorf;58438,00
Groß Borstel;42631,00
Alsterdorf;52426,00
Winterhude;51627,00
Uhlenhorst;62479,00
Hohenfelde;39541,00
Barmbek-Süd;32679,00
Dulsberg;21239,00
Barmbek-Nord;28330,00
Ohlsdorf;39049,00
Fuhlsbüttel;39526,00
Langenhorn;30965,00
Eilbek;32559,00
Wandsbek;28567,00
Marienthal;59131,00
Jenfeld;23975,00
Tonndorf;32210,00
Farmsen-Berne;31603,00
Bramfeld;30928,00
Steilshoop;22730,00
Wellingsbüttel;88606,00
Sasel;61360,00
Poppenbüttel;52157,00
Hummelsbüttel;38135,00
Lemsahl-Mellingstedt;75191,00
Duvenstedt;65694,00
Wohldorf-Ohlstedt;94234,00
Bergstedt;51374,00
Volksdorf;63763,00
Rahlstedt;33419,00
Lohbrügge;29127,00
Bergedorf;35049,00
Curslack;41512,00
Altengamme;47341,00
Neuengamme;40936,00
Kirchwerder;39284,00
Ochsenwerder;38634,00
Reitbrook;37041,00
Allermöhe;38369,00
Billwerder;30575,00
Moorfleet;34387,00
Tatenberg;42598,00
Spadenland;35255,00
Neuallermöhe;28633,00
Harburg;20773,00
Neuland und Gut Moor;32295,00
Wilstorf;25518,00
Rönneburg;38848,00
Langenbek;34231,00
Sinstorf;33328,00
Marmstorf;36313,00
Eißendorf;32988,00
Heimfeld;30132,00
Moorburg und Altenwerder;34544,00
Hausbruch;31023,00
Neugraben-Fischbek;31101,00
Francop;35782,00
Neuenfelde;32879,00
Cranz;31335,00
