"Stadtteil,Stadtbezirk,Stadt,Land,Entfernung,Bars,Diskotheken,Kinos,Theater,Museeen"
Allermöhe,Bergedorf,Hamburg,Deutschland,11.09
Alsterdorf,Hamburg-Nord,Hamburg,Deutschland,6.7
Altengamme,Bergedorf,Hamburg,Deutschland,22.5
Altenwerder,Harburg,Hamburg,Deutschland,7.34
Altona-Altstadt,Altona,Hamburg,Deutschland,3.66
Altona-Nord,Altona,Hamburg,Deutschland,3.9
Bahrenfeld,Altona,Hamburg,Deutschland,6.63
Barmbek-Nord,Hamburg-Nord,Hamburg,Deutschland,6.25
Barmbek-Süd,Hamburg-Nord,Hamburg,Deutschland,4.33
Bergedorf,Hamburg,Deutschland,16.62
Bergstedt,Wandsbek,Hamburg,Deutschland,16.04
Billbrook,Hamburg-Mitte,Hamburg,Deutschland,6.25
Billstedt,Hamburg-Mitte,Öjendorf,Hamburg,Deutschland,8.08
Billwerder,Bergedorf,Kirchsteinbek,Hamburg,Deutschland,10.55
Blankenese,Altona,Hamburg,Deutschland,13.11
Borgfelde,Hamburg-Mitte,Hamburg,Deutschland,2.22
Bramfeld,Wandsbek,Hamburg,Deutschland,9.03
Cranz,Harburg,Hamburg,Deutschland,14.83
Curslack,Bergedorf,Kälbersteert,Hamburg,Deutschland,18.89
Dulsberg,Hamburg-Nord,Hamburg,Deutschland,5.46
Duvenstedt,Wandsbek,Hamburg,Deutschland,18.58
Eidelstedt,Eimsbüttel,Hamburg,Deutschland,8.26
Eilbek,Wandsbek,Hamburg,Deutschland,3.5
Eimsbüttel,Hamburg,Deutschland,4.15
Eißendorf,Harburg,Hamburg,Deutschland,11.67
Eppendorf,Hamburg-Nord,Hamburg,Deutschland,4.54
Farmsen-Berne,Wandsbek,Hamburg,Deutschland,9.94
Finkenwerder,Hamburg-Mitte,Hamburg,Deutschland,8.48
Francop,Harburg,Hamburg,Deutschland,9.64
Fuhlsbüttel,Hamburg-Nord,Hamburg,Deutschland,9.24
Groß Borstel,Hamburg-Nord,Hamburg,Deutschland,6.54
Groß Flottbek,Altona,Hamburg,Deutschland,8.22
Gut Moor,Harburg,Finkenriek,Hamburg,Deutschland,11.29
HafenCity,Hamburg-Mitte,Hamburg,Deutschland,0.88
Hamburg-Altstadt,Hamburg-Mitte,Hamburg,Deutschland,0.18
Hamm,Hamburg-Mitte,Hamburg,Deutschland,3.37
Hammerbrook,Hamburg-Mitte,Hamburg,Deutschland,1.76
Harburg,Hamburg,Deutschland,10.73
Harvestehude,Eimsbüttel,Hamburg,Deutschland,3.09
Hausbruch,Harburg,Hamburg,Deutschland,11.87
Heimfeld,Harburg,Hamburg,Deutschland,10.31
Hoheluft-Ost,Hamburg-Nord,Hamburg,Deutschland,4.05
Hoheluft-West,Eimsbüttel,Hamburg,Deutschland,4.0
Hohenfelde,Hamburg-Nord,Hamburg,Deutschland,1.87
Horn,Hamburg-Mitte,Hamburg,Deutschland,5.86
Hummelsbüttel,Wandsbek,Hamburg,Deutschland,10.27
Iserbrook,Altona,Hamburg,Deutschland,11.84
Jenfeld,Wandsbek,Öjendorf,Hamburg,Deutschland,9.26
Kirchwerder,Bergedorf,Riepenburg,Hamburg,Deutschland,19.57
Kleiner Grasbrook,Hamburg-Mitte,Hamburg,Deutschland,2.43
Langenbek,Harburg,Hamburg,Deutschland,13.17
