Stadtgebiet;Gesamtbetrag der Einkuenfte je Steuerpflichtigen (Lohn- und Einkommen-steuer) im Jahr
Hamburg-Altstadt; 31 336    
HafenCity; 93 206    
Hamburg-Neustadt; 34 521    
St. Pauli; 27 977    
St. Georg; 44 121    
Hammerbrook; 19 468    
Borgfelde; 26 217    
Hamburg-Hamm; 25 745    
Hamburg-Horn; 21 685    
Billstedt; 23 247    
Billbrook; 22 625    
Rothenburgsort; 20 473    
Veddel; 15 831    
Wilhelmsburg; 21 890    
Kleiner Grasbrook; 13 777    
Steinwerder; 13 777    
Waltershof; 31 649    
Finkenwerder; 31 649    
Altona-Altstadt; 30 833    
Sternschanze; 31 125    
Altona-Nord; 29 901    
Ottensen; 40 830    
Bahrenfeld; 33 565    
Gross Flottbek; 85 952    
Othmarschen; 108 258    
Lurup; 26 665    
Hamburg-Osdorf; 43 177    
Nienstedten; 120 716    
Blankenese; 117 139    
Iserbrook; 39 439    
Suelldorf; 43 584    
Rissen; 65 855    
Eimsbuettel; 37 536    
Rotherbaum; 68 191    
Harvestehude; 111 088    
Hoheluft-West; 42 169    
Lokstedt; 41 778    
Niendorf; 41 651    
Schnelsen; 37 866    
Eidelstedt; 30 938    
Stellingen; 32 600    
Hoheluft-Ost; 52 006    
Hamburg-Eppendorf; 58 438    
Gross Borstel; 42 631    
Alsterdorf; 52 426    
Winterhude; 51 627    
Uhlenhorst; 62 479    
Hohenfelde; 39 541    
Barmbek-Sued; 32 679    
Dulsberg; 21 239    
Barmbek-Nord; 28 330    
Ohlsdorf; 39 049    
Fuhlsbuettel; 39 526    
Hamburg-Langenhorn; 30 965    
Eilbek; 32 559    
Wandsbek; 28 567    
Marienthal; 59 131    
Jenfeld; 23 975    
Hamburg-Tonndorf; 32 210    
Farmsen-Berne; 31 603    
Bramfeld; 30 928    
Steilshoop; 22 730    
Wellingsbuettel; 88 606    
Sasel; 61 360    
Poppenbuettel; 52 157    
Hummelsbuettel; 38 135    
Lemsahl-Mellingstedt; 75 191    
Duvenstedt; 65 694    
Wohldorf-Ohlstedt; 94 234    
Bergstedt; 51 374    
Volksdorf; 63 763    
Rahlstedt; 33 419    
Lohbruegge; 29 127    
Bergedorf; 35 049    
Curslack; 41 512    
Altengamme; 47 341    
Neuengamme; 40 936    
Kirchwerder; 39 284    
Ochsenwerder; 38 634    
Reitbrook; 37 041    
Allermoehe; 38 369    
Billwerder; 30 575    
Moorfleet; 34 387    
Tatenberg; 42 598    
Spadenland; 35 255    
Neuallermoehe; 28 633    
Hamburg-Harburg; 20 773    
Neuland; 32 295    
Gut Moor; 32 295    
Wilstorf; 25 518    
Hamburg-Roenneburg; 38 848    
Langenbek; 34 231    
Sinstorf; 33 328    
Marmstorf; 36 313    
Eissendorf; 32 988    
Heimfeld; 30 132    
Moorburg; 34 544    
Altenwerder; 34 544    
Hausbruch; 31 023    
Neugraben-Fischbek; 31 101    
Francop; 35 782    
Neuenfelde; 32 879    
Cranz; 31 335    
