Stadtgebiet,Einkünfte,Entfernung
Hamburg-Altstadt,31336,11.09
HafenCity,93206,6.7
Neustadt,34521,22.5
St. Pauli,27977,7.34
St. Georg,44121,3.66
Hammerbrook,19468,3.9
Borgfelde,26217,6.63
Hamm,25745,6.25
Horn,21685,4.33
Billstedt,23247,16.62
Billbrook,22625,16.04
Rothenburgsort,20473,6.25
Veddel,15831,8.08
Wilhelmsburg,21890,10.55
Kleiner Grasbrook und Steinwerder,13777,13.11
Waltershof und Finkenwerder,31649,2.22
Altona-Altstadt,30833,9.03
Sternschanze,31125,14.83
Altona-Nord,29901,18.89
Ottensen,40830,5.46
Bahrenfeld,33565,18.58
Groß Flottbek,85952,8.26
Othmarschen,108258,3.5
Lurup,26665,4.15
Osdorf,43177,11.67
Nienstedten,120716,4.54
Blankenese,117139,9.94
Iserbrook,39439,8.48
Sülldorf,43584,9.64
Rissen,65855,9.24
Eimsbüttel,37536,6.54
Rotherbaum,68191,8.22
Harvestehude,111088,11.29
Hoheluft-West,42169,0.88
Lokstedt,41778,0.18
Niendorf,41651,3.37
Schnelsen,37866,1.76
Eidelstedt,30938,10.73
Stellingen,32600,3.09
Hoheluft-Ost,52006,11.87
Eppendorf,58438,10.31
Groß Borstel,42631,4.05
Alsterdorf,52426,4.0
Winterhude,51627,1.87
Uhlenhorst,62479,5.86
Hohenfelde,39541,10.27
Barmbek-Süd,32679,11.84
Dulsberg,21239,9.26
Barmbek-Nord,28330,19.57
Ohlsdorf,39049,2.43
Fuhlsbüttel,39526,13.17
Langenhorn,30965,12.58
Eilbek,32559,15.62
Wandsbek,28567,14.63
Marienthal,59131,6.48
Jenfeld,23975,9.6
Tonndorf,32210,5.66
Farmsen-Berne,31603,12.76
Bramfeld,30928,8.89
Steilshoop,22730,7.11
Wellingsbüttel,88606,13.11
Sasel,61360,13.26
Poppenbüttel,52157,19.5
Hummelsbüttel,38135,13.49
Lemsahl-Mellingstedt,75191,9.45
Duvenstedt,65694,1.43
Wohldorf-Ohlstedt,94234,11.5
Bergstedt,51374,9.18
Volksdorf,63763,10.36
Rahlstedt,33419,9.91
Lohbrügge,29127,8.29
Bergedorf,35049,9.66
Curslack,41512,7.49
Altengamme,47341,5.38
Neuengamme,40936,12.76
Kirchwerder,39284,12.01
Ochsenwerder,38634,13.53
Reitbrook,37041,16.62
Allermöhe,38369,12.65
Billwerder,30575,2.91
Moorfleet,34387,2.19
Tatenberg,42598,13.7
Spadenland,35255,11.1
Neuallermöhe,28633,14.08
Harburg,20773,8.82
Neuland und Gut Moor,32295,1.16
Wilstorf,25518,2.76
Rönneburg,38848,7.73
Langenbek,34231,2.86
Sinstorf,33328,7.04
Marmstorf,36313,2.78
Eißendorf,32988,13.97
Heimfeld,30132,8.2
Moorburg und Altenwerder,34544,8.74
Hausbruch,31023,2.48
Neugraben-Fischbek,31101,3.07
Francop,35782,15.41
Neuenfelde,32879,6.85
Cranz,31335,5.72
